"date","hits","keyword","geo","time","gprop","category"
2018-10-14,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-10-21,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-10-28,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-11-04,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-11-11,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-11-18,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-11-25,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-12-02,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-12-09,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-12-16,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-12-23,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2018-12-30,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-01-06,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-01-13,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-01-20,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-01-27,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-02-03,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-02-10,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-02-17,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-02-24,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-03-03,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-03-10,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-03-17,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-03-24,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-03-31,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-04-07,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-04-14,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-04-21,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-04-28,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-05-05,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-05-12,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-05-19,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-05-26,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-06-02,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-06-09,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-06-16,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-06-23,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-06-30,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-07-07,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-07-14,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-07-21,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-07-28,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-08-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-08-11,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-08-18,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-08-25,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-09-01,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-09-08,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-09-15,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-09-22,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-09-29,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-10-06,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-10-13,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-10-20,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-10-27,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-11-03,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-11-10,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-11-17,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-11-24,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-12-01,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-12-08,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-12-15,6,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-12-22,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2019-12-29,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2014-12-28,72,"high speed","US","2015-01-01 2019-12-31","web",0
2015-01-04,93,"high speed","US","2015-01-01 2019-12-31","web",0
2015-01-11,75,"high speed","US","2015-01-01 2019-12-31","web",0
2015-01-18,80,"high speed","US","2015-01-01 2019-12-31","web",0
2015-01-25,86,"high speed","US","2015-01-01 2019-12-31","web",0
2015-02-01,76,"high speed","US","2015-01-01 2019-12-31","web",0
2015-02-08,91,"high speed","US","2015-01-01 2019-12-31","web",0
2015-02-15,82,"high speed","US","2015-01-01 2019-12-31","web",0
2015-02-22,79,"high speed","US","2015-01-01 2019-12-31","web",0
2015-03-01,77,"high speed","US","2015-01-01 2019-12-31","web",0
2015-03-08,83,"high speed","US","2015-01-01 2019-12-31","web",0
2015-03-15,83,"high speed","US","2015-01-01 2019-12-31","web",0
2015-03-22,77,"high speed","US","2015-01-01 2019-12-31","web",0
2015-03-29,72,"high speed","US","2015-01-01 2019-12-31","web",0
2015-04-05,77,"high speed","US","2015-01-01 2019-12-31","web",0
2015-04-12,80,"high speed","US","2015-01-01 2019-12-31","web",0
2015-04-19,78,"high speed","US","2015-01-01 2019-12-31","web",0
2015-04-26,77,"high speed","US","2015-01-01 2019-12-31","web",0
2015-05-03,75,"high speed","US","2015-01-01 2019-12-31","web",0
2015-05-10,82,"high speed","US","2015-01-01 2019-12-31","web",0
2015-05-17,79,"high speed","US","2015-01-01 2019-12-31","web",0
2015-05-24,80,"high speed","US","2015-01-01 2019-12-31","web",0
2015-05-31,85,"high speed","US","2015-01-01 2019-12-31","web",0
2015-06-07,79,"high speed","US","2015-01-01 2019-12-31","web",0
2015-06-14,82,"high speed","US","2015-01-01 2019-12-31","web",0
2015-06-21,75,"high speed","US","2015-01-01 2019-12-31","web",0
2015-06-28,81,"high speed","US","2015-01-01 2019-12-31","web",0
2015-07-05,82,"high speed","US","2015-01-01 2019-12-31","web",0
2015-07-12,77,"high speed","US","2015-01-01 2019-12-31","web",0
2015-07-19,79,"high speed","US","2015-01-01 2019-12-31","web",0
2015-07-26,91,"high speed","US","2015-01-01 2019-12-31","web",0
2015-08-02,81,"high speed","US","2015-01-01 2019-12-31","web",0
2015-08-09,84,"high speed","US","2015-01-01 2019-12-31","web",0
2015-08-16,74,"high speed","US","2015-01-01 2019-12-31","web",0
2015-08-23,84,"high speed","US","2015-01-01 2019-12-31","web",0
2015-08-30,84,"high speed","US","2015-01-01 2019-12-31","web",0
2015-09-06,80,"high speed","US","2015-01-01 2019-12-31","web",0
2015-09-13,84,"high speed","US","2015-01-01 2019-12-31","web",0
2015-09-20,81,"high speed","US","2015-01-01 2019-12-31","web",0
2015-09-27,82,"high speed","US","2015-01-01 2019-12-31","web",0
2015-10-04,78,"high speed","US","2015-01-01 2019-12-31","web",0
2015-10-11,73,"high speed","US","2015-01-01 2019-12-31","web",0
2015-10-18,72,"high speed","US","2015-01-01 2019-12-31","web",0
2015-10-25,78,"high speed","US","2015-01-01 2019-12-31","web",0
2015-11-01,81,"high speed","US","2015-01-01 2019-12-31","web",0
2015-11-08,73,"high speed","US","2015-01-01 2019-12-31","web",0
2015-11-15,68,"high speed","US","2015-01-01 2019-12-31","web",0
2015-11-22,73,"high speed","US","2015-01-01 2019-12-31","web",0
2015-11-29,75,"high speed","US","2015-01-01 2019-12-31","web",0
2015-12-06,78,"high speed","US","2015-01-01 2019-12-31","web",0
2015-12-13,74,"high speed","US","2015-01-01 2019-12-31","web",0
2015-12-20,70,"high speed","US","2015-01-01 2019-12-31","web",0
2015-12-27,75,"high speed","US","2015-01-01 2019-12-31","web",0
2016-01-03,77,"high speed","US","2015-01-01 2019-12-31","web",0
2016-01-10,69,"high speed","US","2015-01-01 2019-12-31","web",0
2016-01-17,75,"high speed","US","2015-01-01 2019-12-31","web",0
2016-01-24,78,"high speed","US","2015-01-01 2019-12-31","web",0
2016-01-31,78,"high speed","US","2015-01-01 2019-12-31","web",0
2016-02-07,78,"high speed","US","2015-01-01 2019-12-31","web",0
2016-02-14,72,"high speed","US","2015-01-01 2019-12-31","web",0
2016-02-21,77,"high speed","US","2015-01-01 2019-12-31","web",0
2016-02-28,73,"high speed","US","2015-01-01 2019-12-31","web",0
2016-03-06,76,"high speed","US","2015-01-01 2019-12-31","web",0
2016-03-13,68,"high speed","US","2015-01-01 2019-12-31","web",0
2016-03-20,74,"high speed","US","2015-01-01 2019-12-31","web",0
2016-03-27,77,"high speed","US","2015-01-01 2019-12-31","web",0
2016-04-03,97,"high speed","US","2015-01-01 2019-12-31","web",0
2016-04-10,75,"high speed","US","2015-01-01 2019-12-31","web",0
2016-04-17,71,"high speed","US","2015-01-01 2019-12-31","web",0
2016-04-24,76,"high speed","US","2015-01-01 2019-12-31","web",0
2016-05-01,77,"high speed","US","2015-01-01 2019-12-31","web",0
2016-05-08,73,"high speed","US","2015-01-01 2019-12-31","web",0
2016-05-15,74,"high speed","US","2015-01-01 2019-12-31","web",0
2016-05-22,71,"high speed","US","2015-01-01 2019-12-31","web",0
2016-05-29,74,"high speed","US","2015-01-01 2019-12-31","web",0
2016-06-05,69,"high speed","US","2015-01-01 2019-12-31","web",0
2016-06-12,75,"high speed","US","2015-01-01 2019-12-31","web",0
2016-06-19,73,"high speed","US","2015-01-01 2019-12-31","web",0
2016-06-26,71,"high speed","US","2015-01-01 2019-12-31","web",0
2016-07-03,73,"high speed","US","2015-01-01 2019-12-31","web",0
2016-07-10,75,"high speed","US","2015-01-01 2019-12-31","web",0
2016-07-17,71,"high speed","US","2015-01-01 2019-12-31","web",0
2016-07-24,70,"high speed","US","2015-01-01 2019-12-31","web",0
2016-07-31,79,"high speed","US","2015-01-01 2019-12-31","web",0
2016-08-07,71,"high speed","US","2015-01-01 2019-12-31","web",0
2016-08-14,70,"high speed","US","2015-01-01 2019-12-31","web",0
2016-08-21,74,"high speed","US","2015-01-01 2019-12-31","web",0
2016-08-28,73,"high speed","US","2015-01-01 2019-12-31","web",0
2016-09-04,72,"high speed","US","2015-01-01 2019-12-31","web",0
2016-09-11,76,"high speed","US","2015-01-01 2019-12-31","web",0
2016-09-18,70,"high speed","US","2015-01-01 2019-12-31","web",0
2016-09-25,70,"high speed","US","2015-01-01 2019-12-31","web",0
2016-10-02,70,"high speed","US","2015-01-01 2019-12-31","web",0
2016-10-09,69,"high speed","US","2015-01-01 2019-12-31","web",0
2016-10-16,68,"high speed","US","2015-01-01 2019-12-31","web",0
2016-10-23,69,"high speed","US","2015-01-01 2019-12-31","web",0
2016-10-30,69,"high speed","US","2015-01-01 2019-12-31","web",0
2016-11-06,62,"high speed","US","2015-01-01 2019-12-31","web",0
2016-11-13,59,"high speed","US","2015-01-01 2019-12-31","web",0
2016-11-20,68,"high speed","US","2015-01-01 2019-12-31","web",0
2016-11-27,69,"high speed","US","2015-01-01 2019-12-31","web",0
